psraid,sample,state,cregion,usr,pial1a,pial1b,pial1c,pial1d,pial1e,pial2,pial3a,pial3b,pial3c,pial4,employ,par,sex,age,educ2,hisp,race,inc,weight,standwt
100884,1,25,1,S,1,2,2,1,2,1,2,2,2, ,3,2,2,70,8,2,1,6,1.34146341463415,.447252572806946
100886,1,12,3,U,2,2,2,2,2, , , , , ,3,2,2,75,5,2,2,4,3.92682926829268,1.30923025858033
100888,1,51,3,S,1,2,2,2,1,2,2,2,2, ,3,2,2,99,4,2,1,99,2.65853658536585,.886373280653766
100892,1,51,3,S,1,2,2,2,2,2,1,2,2, ,3,2,2,76,4,2,1,3,1.78048780487805,.59362614208922
100900,1,29,2,S,2,2,2,2,2, , , , , ,3,2,2,75,3,2,2,1,2.21951219512195,.739999711371493
100923,1,1,3,U,1,2,2,2,2,2,2,2,2, ,2,2,1,66,3,2,1,4,3.02439024390244,1.00835125505566
100925,1,22,3,U,1,2,2,2,2,1,2,2,2, ,1,2,1,68,8,2,1,4,1.41463414634146,.471648167687325
100926,1,18,2,U,1,2,2,2,2,2,1,2,4, ,1,2,1,45,4,2,1,6,1.80487804878049,.601758007049346
100929,1,5,3,R,2,2,2,2,2, , , , , ,3,2,2,78,3,2,1,9,3.95121951219512,1.31736212354046
100931,1,12,3,S,1,8,1,1,1,1,1,2,2, ,1,1,1,43,4,1,1,3,7.14634146341463,2.382636433317
100933,1,12,3,R,1,2,2,2,2,2,2,2,1,4,3,2,1,68,2,2,1,2,2.75609756097561,.918900740494271
100935,1,40,3,U,1,2,2,1,2,1,2,2,2, ,1,2,1,50,6,2,1,99,2.4390243902439,.81318649601263
100949,1,37,3,R,1,1,1,2,1,1,1,1,1,1,2,2,2,22,6,2,1,8,1.82926829268293,.609889872009472
100958,1,27,2,R,2,2,2,2,2, , , , , ,3,2,2,63,3,2,1,3,1.65853658536585,.552966817288588
100962,1,29,2,R,1,1,2,1,1,1,1,2,2, ,1,1,2,34,3,2,1,6,2.75609756097561,.918900740494271
100974,1,12,3,S,1,1,1,1,1,1,2,2,2, ,1,1,2,49,8,2,1,7,2.21951219512195,.739999711371493
100984,1,18,2,R,1,2,2,2,2,1,2,2,2, ,1,2,1,57,3,2,1,5,1.78048780487805,.59362614208922
100986,1,27,2,R,2,2,2,2,2, , , , , ,3,2,1,53,3,2,9,99,2.07317073170732,.691208521610735
100988,1,48,3,R,2,2,2,2,2, , , , , ,1,1,1,30,2,1,1,4,6.95121951219512,2.31758151363599
100992,1,37,3,S,1,1,1,1,2,2,1,2,4, ,3,2,2,64,4,2,1,6,2.53658536585366,.845713955853135
100993,1,4,4,R,2,2,2,2,2, , , , , ,3,1,2,47,3,2,9,1,7.09756097560976,2.36637270339675
100998,1,19,2,R,1,2,2,2,2,2,2,2,2, ,3,2,2,77,4,2,1,6,1,.333406463365178
101007,1,4,4,U,1,2,2,1,1,2,1,2,2, ,3,2,2,24,6,2,1,2,1.29268292682927,.430988842886694
101008,1,13,3,S,1,2,2,2,2,2,2,2,2, ,3,2,1,62,5,2,1,1,1.31707317073171,.43912070784682
101014,1,42,1,S,2,2,2,2,1, , , , , ,3,1,2,31,2,2,4,3,5.09756097560976,1.6995597766664
101016,1,47,3,S,2,2,2,2,2, , , , , ,3,2,2,72,2,2,1,99,3.39024390243902,1.13032922945756
101019,1,17,2,S,1,2,2,2,2,8,2,2,2, ,3,2,2,99,2,2,1,9,1.4390243902439,.479780032647451
101021,1,55,2,R,1,2,2,2,2,2,2,2,2, ,3,2,2,78,4,2,1,3,1.24390243902439,.414725112966441
101027,1,4,4,S,2,2,2,2,2, , , , , ,3,2,2,60,3,2,1,5,3.24390243902439,1.0815380396968
101028,1,27,2,R,2,2,2,2,2, , , , , ,3,2,1,85,4,2,1,99,1.14634146341463,.382197653125936
101031,1,26,2,R,2,2,2,2,2, , , , , ,1,2,1,61,5,2,1,4,1.75609756097561,.585494277129093
101035,1,29,2,R,2,2,2,2,2, , , , , ,3,2,2,81,3,2,1,99,1.46341463414634,.487911897607578
101050,1,39,2,R,1,2,2,2,2,1,1,2,2, ,1,2,1,55,3,2,1,6,2.63414634146341,.87824141569364
101051,1,34,1,S,1,2,2,2,2,2,2,2,2, ,3,2,1,65,5,2,1,7,1.68292682926829,.561098682248714
101054,1,4,4,S,1,2,1,1,2,1,1,2,2, ,1,2,1,59,6,2,1,8,1.4390243902439,.479780032647451
101064,1,48,3,S,1,2,2,1,2,1,2,2,2, ,1,2,1,51,4,2,1,7,2.4390243902439,.81318649601263
101066,1,39,2,S,1,2,2,2,2,1,2,2,2, ,3,2,1,80,6,2,1,5,1.24390243902439,.414725112966441
101070,1,26,2,S,1,2,1,2,2,2,2,2,2, ,3,2,2,62,4,2,1,7,1.78048780487805,.59362614208922
101072,1,26,2,S,1,1,2,1,2,2,1,4,4, ,2,2,1,65,6,2,1,7,1.24390243902439,.414725112966441
101073,1,4,4,U,1,2,2,2,2,2,2,2,2, ,3,1,2,50,4,2,1,1,2.31707317073171,.772527171211998
101074,1,27,2,S,1,1,1,2,1,2,2,2,2, ,3,2,2,74,8,2,1,6,1.36585365853659,.455384437767073
101075,1,55,2,U,1,1,2,2,2,2,2,2,2, ,3,2,2,75,3,2,1,2,1.46341463414634,.487911897607578
101077,1,42,1,R,2,2,2,2,2, , , , , ,3,2,2,82,3,2,1,4,2.87804878048781,.959560065294903
101080,1,6,4,U,1,2,1,1,2,1,2,2,2, ,1,2,2,64,6,2,1,8,1,.333406463365178
101081,1,36,1,S,1,2,2,1,1,1,1,2,1,4,3,1,1,27,4,1,2,1,4.1219512195122,1.37428517826134
101082,1,42,1,U,1,2,2,2,1,2,2,2,2, ,2,1,1,23,4,2,1,2,1.65853658536585,.552966817288588
101083,1,12,3,S,1,2,2,2,2,1,1,2,2, ,3,2,2,60,7,1,2,8,2.4390243902439,.81318649601263
101086,1,6,4,U,2,2,2,2,2, , , , , ,3,2,1,31,3,2,1,1,4.36585365853659,1.45560382786261
101090,1,53,4,U,2,1,2,1,2, , , , , ,3,2,2,57,6,2,1,5,2.60975609756098,.870109550733514
101094,1,8,4,S,1,1,1,1,1,1,2,2,2, ,1,2,2,48,4,2,1,7,4.1219512195122,1.37428517826134
101102,1,36,1,U,2,2,2,2,1, , , , , ,3,1,2,29,2,2,2,1,5.75609756097561,1.91912013058981
101104,1,6,4,S,1,2,1,1,1,1,2,1,1,3,1,1,1,38,8,2,3,8,1.4390243902439,.479780032647451
101105,1,8,4,U,2,2,2,2,2, , , , , ,3,2,1,72,8,2,9,99,1.90243902439024,.634285466889851
101108,1,4,4,S,1,2,1,1,2,1,1,2,2, ,1,2,2,50,6,2,1,99,1.46341463414634,.487911897607578
101115,1,16,4,U,1,2,2,1,2,2,2,2,2, ,2,2,1,64,4,2,1,8,1.29268292682927,.430988842886694
101118,1,16,4,S,1,2,2,2,2,2,1,2,2, ,1,1,1,41,6,2,1,3,1.07317073170732,.357802058245557
101122,1,49,4,S,1,2,2,2,2,2,2,2,2, ,1,1,2,54,6,2,9,6,3.24390243902439,1.0815380396968
101125,1,6,4,S,1,1,1,1,1,8,2,2,2, ,3,2,1,79,3,1,1,2,3.07317073170732,1.02461498497591
101150,1,47,3,R,1,2,2,2,2,2,1,2,2, ,3,2,1,76,3,2,1,6,2.31707317073171,.772527171211998
101153,1,47,3,U,1,2,2,2,1,1,1,2,2, ,3,1,2,24,4,2,2,3,2.26829268292683,.756263441291746
101154,1,47,3,S,1,2,2,2,2,8,9,9,9, ,3,2,1,82,8,2,1,6,1,.333406463365178
101159,1,47,3,S,1,2,2,2,2,2,2,2,2, ,3,2,2,64,3,2,1,1,3.41463414634146,1.13846109441768
101162,1,12,3,U,1,1,1,2,2,2,1,2,2, ,3,2,2,66,4,2,2,5,1.78048780487805,.59362614208922
101169,1,36,1,S,1,1,2,2,2,8,2,2,2, ,3,2,1,80,7,2,1,99,1.46341463414634,.487911897607578
101170,1,47,3,S,1,2,2,2,2,2,2,2,2, ,3,2,2,73,3,2,1,99,2.53658536585366,.845713955853135
101177,1,39,2,S,1,1,2,1,2,2,1,2,2, ,1,2,1,50,7,2,1,6,2.1219512195122,.707472251530988
101181,1,28,3,R,2,2,2,2,2, , , , , ,3,2,2,88,6,2,1,99,1,.333406463365178
101184,1,47,3,S,1,2,2,2,2,2,2,2,2, ,3,2,2,74,3,2,1,99,2.46341463414634,.821318360972756
101187,1,41,4,S,1,2,2,1,1,1,2,1,2, ,1,2,1,31,5,2,1,2,1.51219512195122,.50417562752783
101189,1,37,3,S,1,1,1,2,2,2,1,2,2, ,1,1,1,40,3,2,1,1,4.07317073170732,1.35802144834109
101193,1,48,3,R,1,2,1,2,2,1,1,2,2, ,2,2,2,21,4,1,1,3,2.80487804878049,.935164470414524
101194,1,48,3,S,1,2,2,2,2,1,2,2,2, ,3,2,2,73,4,2,1,5,1,.333406463365178
101199,1,51,3,U,1,2,2,2,2,2,2,2,2, ,3,2,2,65,3,2,2,3,2.48780487804878,.829450225932882
101211,1,40,3,S,1,2,2,2,2,2,2,2,2, ,1,2,1,64,2,2,1,5,1.58536585365854,.528571222408209
101213,1,6,4,S,1,2,2,2,2,2,2,2,2, ,3,2,2,72,3,2,1,4,2.53658536585366,.845713955853135
101215,1,42,1,S,2,1,1,1,2, , , , , ,1,2,2,24,3,2,2,1,2.14634146341463,.715604116491114
101217,1,17,2,S,1,2,2,2,2,2,1,2,2, ,3,2,1,67,3,2,1,3,1.75609756097561,.585494277129093
101227,1,6,4,U,1,2,2,2,2,2,2,2,2, ,3,2,1,85,4,2,1,1,2,.666812926730356
101228,1,6,4,S,1,2,2,2,2,2,1,1,2, ,3,2,2,69,2,2,1,99,2.04878048780488,.683076656650609
101234,1,6,4,U,1,1,2,1,1,2,1,2,1,1,1,1,2,55,5,2,1,5,1,.333406463365178
101238,1,29,2,S,1,2,2,2,2,2,2,2,2, ,3,2,1,74,4,2,1,4,1.31707317073171,.43912070784682
101247,1,32,4,U,2,2,2,2,2, , , , , ,1,2,1,43,3,2,2,9,3.70731707317073,1.2360434739392
101250,1,53,4,S,2,2,1,2,2, , , , , ,1,1,1,47,7,2,1,7,2.53658536585366,.845713955853135
101252,1,6,4,U,2,2,2,1,2, , , , , ,3,2,1,73,4,2,1,99,2.60975609756098,.870109550733514
101255,1,48,3,U,2,2,2,2,1, , , , , ,3,2,1,55,4,2,5,1,1.8780487804878,.626153601929725
101257,1,6,4,S,1,2,2,2,1,1,1,2,2, ,3,2,2,61,2,1,6,3,6.4390243902439,2.14681234947334
101259,1,17,2,S,1,2,2,2,2,2,2,2,2, ,1,2,1,99,4,2,1,5,2.41463414634146,.805054631052503
101261,1,53,4,S,1,2,1,2,1,1,2,1,2, ,1,2,2,29,5,2,3,2,5.87804878048781,1.95977945539044
101262,1,29,2,R,1,2,2,2,2,2,2,2,2, ,3,2,2,65,4,2,1,1,1.24390243902439,.414725112966441
101264,1,6,4,S,1,2,2,2,2,2,2,2,2, ,3,2,1,69,3,2,1,1,1.31707317073171,.43912070784682
101275,1,27,2,S,1,2,2,1,2,1,2,1,2, ,1,1,1,37,6,2,1,8,1.39024390243902,.463516302727199
101278,1,29,2,U,2,2,2,2,2, , , , , ,1,2,1,50,6,2,1,9,6.48780487804878,2.1630760793936
101285,1,48,3,U,1,1,1,2,1,1,2,2,2, ,2,2,1,67,8,2,1,7,2.04878048780488,.683076656650609
101292,1,53,4,S,1,2,2,2,2,2,2,2,2, ,2,2,2,62,8,2,1,4,1,.333406463365178
101295,1,6,4,S,1,2,2,2,2,2,2,2,2, ,3,2,2,81,4,2,1,3,1.53658536585366,.512307492487957
101301,1,6,4,U,1,2,2,2,1,2,2,2,2, ,2,1,1,44,5,2,1,6,1.97560975609756,.65868106177023
101305,1,32,4,U,1,1,1,1,2,2,2,2,2, ,3,2,1,59,4,2,1,1,1.29268292682927,.430988842886694
101314,1,41,4,S,1,2,2,2,2,8,2,2,2, ,1,2,1,59,4,2,1,6,1.68292682926829,.561098682248714
101315,1,41,4,R,1,2,2,1,2,2,2,2,2, ,2,2,1,63,4,2,1,3,1,.333406463365178
101320,1,6,4,U,1,2,1,1,1,2,2,2,2, ,1,2,1,43,8,2,1,5,1.68292682926829,.561098682248714
101321,1,53,4,R,1,2,2,2,1,1,2,2,2, ,2,2,1,72,5,2,1,3,1,.333406463365178
101327,1,6,4,S,1,1,1,2,2,2,2,2,2, ,3,2,2,75,6,2,1,2,1.14634146341463,.382197653125936
101331,1,6,4,S,1,1,2,2,2,2,1,2,2, ,3,2,1,71,6,2,1,5,2.17073170731707,.72373598145124
101336,1,6,4,U,2,2,2,1,2, , , , , ,3,2,2,18,4,1,1,99,6.07317073170732,2.02483437507145
101338,1,6,4,S,1,1,1,1,1,1,1,2,2, ,1,1,1,46,6,2,1,7,3.09756097560976,1.03274684993604
101341,1,53,4,S,1,2,2,1,1,1,1,2,2, ,1,1,2,20,4,1,9,4,2.36585365853659,.788790901132251
101346,1,23,1,R,1,2,1,1,1,1,1,2,1,1,3,2,2,60,8,2,1,99,1.02439024390244,.341538328325304
101348,1,51,3,R,1,2,2,2,2,2,2,2,2, ,1,2,2,77,4,2,1,6,1,.333406463365178
101351,1,26,2,S,1,1,2,2,2,2,1,2,2, ,3,1,2,58,2,2,1,3,1.65853658536585,.552966817288588
101355,1,18,2,R,1,2,2,1,2,1,1,2,2, ,1,2,2,58,4,2,1,3,1.41463414634146,.471648167687325
101359,1,9,1,S,1,1,1,1,2,1,2,2,2, ,3,1,2,35,6,2,1,6,3.24390243902439,1.0815380396968
101363,1,42,1,S,1,2,2,2,2,2,1,2,2, ,3,2,2,79,3,2,1,2,1.4390243902439,.479780032647451
101365,1,36,1,S,1,1,1,1,1,1,1,2,2, ,1,1,1,50,6,2,1,9,3.1219512195122,1.04087871489617
101367,1,47,3,R,2,2,2,2,1, , , , , ,1,1,1,48,3,2,1,99,4.80487804878049,1.60197739714488
101385,1,45,3,S,1,2,1,2,2,8,2,2,2, ,1,2,2,64,8,2,2,3,1.24390243902439,.414725112966441
101392,1,44,1,S,2,2,2,2,2, , , , , ,3,2,1,72,3,2,1,2,6.36585365853659,2.12241675459296
101407,1,42,1,U,1,2,2,2,2,2,1,2,2, ,3,2,2,62,3,2,2,4,3.5609756097561,1.18725228417844
101414,1,47,3,R,2,2,2,2,2, , , , , ,3,2,2,62,4,2,1,4,3.70731707317073,1.2360434739392
101419,1,19,2,S,1,2,2,2,2,2,1,2,2, ,1,2,1,66,5,2,1,7,1.70731707317073,.569230547208841
101422,1,21,3,S,1,1,2,2,1,1,1,2,2, ,1,1,2,31,4,2,1,99,1.97560975609756,.65868106177023
101439,1,55,2,R,1,1,1,1,1,1,1,2,2, ,1,1,1,44,8,2,1,6,1.29268292682927,.430988842886694
101440,1,42,1,S,1,2,1,2,1,2,1,2,2, ,1,1,1,35,3,2,1,4,4.1219512195122,1.37428517826134
101441,1,40,3,S,1,2,1,1,1,1,2,2,2, ,3,1,2,39,3,2,1,5,3.78048780487805,1.26043906881958
101446,1,27,2,S,1,2,2,2,2,2,2,2,2, ,3,2,2,67,6,2,1,5,1,.333406463365178
101447,1,28,3,S,1,2,2,2,2,1,2,2,2, ,3,2,2,60,5,2,2,3,1.17073170731707,.390329518086062
101448,1,47,3,R,1,2,2,2,2,2,2,2,2, ,3,1,1,66,3,2,1,2,3.02439024390244,1.00835125505566
101449,1,55,2,S,1,1,1,1,1,2,2,2,2, ,1,1,1,49,3,2,1,7,2.36585365853659,.788790901132251
101455,1,5,3,S,1,2,2,2,1,1,2,2,2, ,1,2,1,24,3,2,1,1,2.41463414634146,.805054631052503
101458,1,5,3,U,1,2,2,1,2,2,2,2,2, ,3,2,2,34,4,2,1,1,2.5609756097561,.853845820813261
101468,1,48,3,S,1,2,2,2,2,2,2,2,2, ,3,2,2,78,3,2,1,1,1.70731707317073,.569230547208841
101469,1,42,1,R,2,2,2,2,2, , , , , ,3,2,2,85,3,2,1,99,1.4390243902439,.479780032647451
101505,1,13,3,R,1,2,2,2,2,2,2,2,2, ,3,2,2,67,3,2,1,3,2.31707317073171,.772527171211998
101506,1,44,1,U,1,2,2,1,2,1,1,1,1,1,3,2,2,18,4,1,1,99,4.39024390243903,1.46373569282273
101507,1,18,2,R,2,2,2,2,2, , , , , ,3,2,1,56,9,2,1,1,2.31707317073171,.772527171211998
101508,1,25,1,S,1,1,1,2,1,1,1,1,1,1,2,1,2,44,7,2,1,8,2.21951219512195,.739999711371493
101510,1,47,3,R,2,2,2,2,2, , , , , ,3,2,2,76,3,2,1,1,2.21951219512195,.739999711371493
101511,1,24,3,U,1,2,2,1,1,1,2,1,1,4,2,2,2,24,6,2,3,8,3.65853658536585,1.21977974401894
101516,1,39,2,R,1,2,2,1,1,2,1,2,2, ,2,1,2,50,4,2,1,99,2.78048780487805,.927032605454398
101521,1,12,3,R,1,2,2,2,2,2,2,2,2, ,3,2,1,86,3,2,1,2,2.02439024390244,.674944791690483
101525,1,42,1,S,1,2,2,1,1,1,1,2,1,4,1,2,2,22,5,2,1,5,1.92682926829268,.642417331849977
101528,1,54,3,S,1,1,2,1,1,1,1,2,2, ,1,2,2,55,5,2,1,7,2.53658536585366,.845713955853135
101531,1,18,2,S,2,2,2,2,2, , , , , ,3,2,1,62,3,2,1,2,1.78048780487805,.59362614208922
101534,1,6,4,S,1,2,2,1,1,1,1,1,1,4,3,2,2,50,6,2,1,7,1,.333406463365178
101538,1,6,4,U,1,2,2,2,2,1,2,1,1,1,1,1,1,99,6,2,3,99,2.34146341463415,.780659036172124
101542,1,12,3,U,2,2,2,2,2, , , , , ,3,2,2,87,6,2,1,3,1.17073170731707,.390329518086062
101559,1,6,4,S,1,2,2,2,2,2,2,2,2, ,3,2,1,86,1,2,2,3,1.07317073170732,.357802058245557
101563,1,41,4,R,1,2,2,1,2,2,2,4,4, ,1,2,2,99,5,2,1,3,1,.333406463365178
101564,1,6,4,S,1,2,1,1,2,1,2,2,2, ,3,1,1,37,4,2,1,2,2.48780487804878,.829450225932882
101574,1,41,4,S,1,2,2,2,1,8,2,2,2, ,1,2,1,67,8,2,1,1,1,.333406463365178
101575,1,21,3,S,1,2,2,2,2,2,2,2,2, ,3,1,2,55,2,2,1,4,2.87804878048781,.959560065294903
101581,1,6,4,U,2,2,2,2,2, , , , , ,1,2,1,45,3,2,1,99,2.5609756097561,.853845820813261
101586,1,6,4,S,1,2,2,1,1,1,2,2,2, ,3,1,2,42,3,1,1,2,3.36585365853659,1.12219736449743
101590,1,18,2,S,1,2,2,1,1,1,2,1,1,1,1,1,1,25,3,2,1,4,2.19512195121951,.731867846411367
101592,1,6,4,S,1,1,1,1,2,1,2,2,2, ,1,1,1,58,8,9,9,9,1.4390243902439,.479780032647451
101603,1,18,2,R,1,2,2,2,1,1,2,2,2, ,2,1,1,35,1,1,6,3,5.51219512195122,1.83780148098854
101616,1,6,4,U,1,2,2,1,1,2,2,2,2, ,3,1,2,38,4,2,2,1,2.24390243902439,.748131576331619
101626,1,18,2,S,2,2,2,2,2, , , , , ,3,2,1,55,3,2,1,1,2.31707317073171,.772527171211998
101632,1,6,4,U,1,1,2,1,1,1,2,1,1,3,1,1,2,32,3,2,1,5,2.70731707317073,.902637010574019
101633,1,34,1,S,1,1,1,1,1,1,1,1,1,3,3,2,1,75,8,2,2,9,1,.333406463365178
101638,1,51,3,R,1,2,2,1,1,1,1,2,1,1,3,1,2,64,3,2,1,5,1.48780487804878,.496043762567704
101641,1,6,4,S,1,2,2,2,2,2,1,2,2, ,1,2,1,51,4,1,1,8,3.21951219512195,1.07340617473667
101645,1,12,3,S,1,1,2,1,2,1,1,2,2, ,3,2,1,78,7,2,1,9,1.41463414634146,.471648167687325
101649,1,45,3,S,1,2,2,2,2,2,1,2,2, ,2,2,1,89,4,2,1,99,1.29268292682927,.430988842886694
101654,1,6,4,R,2,2,2,2,2, , , , , ,3,2,1,69,3,2,1,99,1.70731707317073,.569230547208841
101658,1,32,4,S,2,2,2,1,1, , , , , ,3,2,2,19,4,2,2,99,4.14634146341463,1.38241704322147
101667,1,6,4,S,1,2,2,2,2,2,2,2,2, ,1,2,2,57,3,2,1,3,4.34146341463415,1.44747196290248
101669,1,6,4,S,1,2,1,1,1,1,2,1,1,1,1,1,1,34,5,2,1,6,2.19512195121951,.731867846411367
101670,1,25,1,S,2,2,2,2,2, , , , , ,3,2,1,60,3,2,1,6,5.17073170731707,1.72395537154677
101672,1,18,2,R,1,2,1,1,1,1,1,1,1,1,1,1,1,34,4,2,1,4,1.75609756097561,.585494277129093
101674,1,6,4,U,1,2,2,2,2,2,2,2,2, ,1,2,2,52,8,2,1,6,1.29268292682927,.430988842886694
101677,1,6,4,S,1,2,1,1,2,1,1,1,1,4,3,1,2,24,3,1,1,1,5.02439024390244,1.67516418178602
101679,1,53,4,S,1,1,1,1,1,1,1,1,2, ,2,2,2,65,3,2,1,6,2.48780487804878,.829450225932882
101683,1,53,4,S,1,2,2,2,2,8,2,2,2, ,3,2,2,77,2,2,1,99,1.39024390243902,.463516302727199
101684,1,21,3,S,1,2,2,1,2,1,2,1,1,1,1,1,1,40,5,2,1,99,2.31707317073171,.772527171211998
101685,1,41,4,U,1,2,2,1,2,1,2,2,2, ,2,2,1,53,3,2,1,6,4.29268292682927,1.43120823298223
101698,1,28,3,S,1,1,2,2,2,1,2,2,2, ,1,2,2,64,4,2,1,4,1.4390243902439,.479780032647451
101703,1,42,1,U,1,1,1,1,1,1,1,2,2, ,1,2,1,58,3,2,1,4,4.65853658536585,1.55318620738412
101708,1,25,1,U,2,2,2,2,2, , , , , ,3,2,2,73,3,2,1,2,3.65853658536585,1.21977974401894
101709,1,8,4,S,1,1,2,1,1,1,2,8,1,1,1,1,1,36,3,2,9,7,2.21951219512195,.739999711371493
101718,1,12,3,U,1,2,2,2,2,2,2,2,2, ,3,2,1,74,8,2,1,6,2.58536585365854,.861977685773387
101719,1,22,3,S,1,2,2,2,2,1,1,2,2, ,3,2,2,66,3,2,1,1,1.92682926829268,.642417331849977
101722,1,35,4,U,1,2,2,2,1,1,2,2,2, ,1,2,1,99,9,9,9,99,2.48780487804878,.829450225932882
101727,1,17,2,S,1,1,1,2,1,1,1,2,2, ,2,1,2,43,7,2,1,8,4.14634146341463,1.38241704322147
101728,1,17,2,S,1,1,1,1,1,1,1,2,2, ,1,1,1,48,8,2,1,9,3.17073170731707,1.05714244481642
101732,1,18,2,S,1,2,2,1,2,1,2,2,2, ,1,2,2,48,3,2,1,6,3.48780487804878,1.16285668929806
101735,1,12,3,S,1,2,2,2,2,2,2,2,2, ,3,2,2,65,9,2,1,2,3.58536585365854,1.19538414913857
101742,1,35,4,U,1,2,2,2,2,2,1,2,2, ,3,2,2,68,8,1,5,7,1.39024390243902,.463516302727199
101743,1,4,4,S,1,2,2,1,2,1,2,2,2, ,1,2,2,65,6,2,1,6,1,.333406463365178
101744,1,39,2,R,1,2,2,2,2,8,2,2,2, ,3,2,2,90,4,2,1,3,1.09756097560976,.365933923205683
101747,1,53,4,U,1,2,1,1,1,1,2,2,2, ,3,1,2,37,6,2,3,8,2.82926829268293,.94329633537465
101749,1,53,4,U,1,2,2,2,1,2,2,2,2, ,1,1,2,50,3,2,1,5,2.70731707317073,.902637010574019
101752,1,5,3,S,1,2,2,2,1,1,1,2,2, ,3,2,2,54,6,2,1,4,2.07317073170732,.691208521610735
101759,1,1,3,R,2,2,2,2,2, , , , , ,3,2,2,66,4,2,1,1,2.92682926829268,.975823795215156
101765,1,6,4,S,1,1,1,1,1,1,2,1,1,3,1,1,1,46,6,2,1,9,2.07317073170732,.691208521610735
101768,1,16,4,U,1,2,2,2,2,2,1,2,2, ,3,2,2,70,3,2,1,6,2.07317073170732,.691208521610735
101775,1,6,4,S,1,2,2,1,1,1,2,1,1,4,3,2,1,27,4,1,1,6,3.4390243902439,1.14659295937781
101777,1,22,3,R,1,2,2,2,2,2,2,2,4, ,3,1,2,64,3,2,2,4,2.34146341463415,.780659036172124
101781,1,53,4,U,1,1,1,1,1,1,1,2,2, ,2,2,2,66,5,2,1,7,1.82926829268293,.609889872009472
101783,1,4,4,U,1,2,2,2,2,2,2,2,2, ,3,2,2,67,8,2,1,7,1,.333406463365178
101784,1,41,4,U,1,1,2,1,2,1,2,2,2, ,1,2,2,63,8,2,1,99,1.31707317073171,.43912070784682
101788,1,17,2,S,1,1,2,1,1,1,2,1,1,2,1,1,1,25,4,2,1,6,2.24390243902439,.748131576331619
